objectId,latitude,longitude,postalCode,place
AXasDTOsUQ,46.0511,14.5051,1000,Ljubljana - dostava
SnSin1B7p7,46.1769,14.8072,1223,Blagovica
ShOzIVsiob,46.1667,14.7,1225,Lukovica
JHIeh7t5D9,46.1377,14.5937,1230,Domžale
UN3Kr9W3W2,46.1527,14.5952,1231,Ljubljana Črnuče
EtuWyYVv2w,45.9556,14.6589,1290,Grosuplje
gT0r7SBkCW,45.9833,14.5767,1291,Škofljica
rmWYTLn6pe,45.9603,14.5289,1292,Ig
9ImWzjTo4Z,45.9762,14.6118,1293,Šmarje-Sap
tHtMXfthkv,45.9539,14.7453,1294,Višnja Gora
jhZx6FzswN,45.9383,14.8044,1295,Ivančna Gorica
VjHh5Gee29,45.95,14.8434,1296,Šentvid pri Stični
t1OXB0X2u5,45.8813,14.7781,1301,Krka
MSvguOSzOR,46.1419,15.1128,1431,Dol pri Hrastniku
YARKmjvMGJ,46.0882,15.1728,1432,Zidani Most
HtAqZuzgnk,46.0681,15.1839,1433,Radeče
onDyVca0B9,46.0575,15.2072,1434,Loka pri Zidanem Mostu
yugGfWoFot,46.5547,15.6467,2000,Maribor - dostava
brDjvBu9zJ,46.5547,15.6467,2001,Maribor - poštni predali
CReA8hbCuF,46.6392,15.6156,2201,Zgornja Kungota
hYFQ9X4ZoA,46.5947,15.2375,2365,Vuhred
51P5OTDAFf,46.6114,15.1661,2366,Muta
jzN3ZVO9Ep,46.5964,15.1672,2367,Vuzenica
xIBSoUrzAN,46.5881,15.0192,2370,Dravograd
JMq4M1JgAf,46.6028,15.1075,2371,Trbonje
izGu7oHpJZ,46.62,14.9497,2372,Libeliče
8l06glUSBb,46.5611,15.0389,2373,Šentjanž pri Dravogradu
EPE5fIsvgB,46.1862,15.4933,3264,Sveti Štefan
SJ9E75bYXH,46.1546,15.2355,3270,Laško
hes2Xyh6YQ,46.1714,15.3494,3271,Šentrupert
uHpKbpx0UG,46.1226,15.1919,3272,Rimske Toplice
nIoXEjmnSX,46.2839,14.8903,3341,Šmartno ob Dreti
BG284vf6bC,46.2953,14.8083,3342,Gornji Grad
5Vpm0EbaNs,46.2309,15.2604,3502,Celje
bPjbu1DiSH,46.4833,13.8333,4282,Gozd Martuljek
YtjqCdr3Cn,46.4761,13.8532,4283,Rateče-Planica
M2Ej8lQBWG,46.3636,14.3105,4290,Tržič
5dyivfHx44,46.3428,14.3014,4294,Križe
MpaUjIVFYu,46.2389,14.3556,4600,Kranj
IX7GAL0gUN,45.958,13.6469,5000,Nova Gorica - dostava
oJ8MmLnvsC,45.9431,13.6393,5001,Nova Gorica - poštni predali
t7RFjg5XK1,46.0531,13.6138,5210,Deskle
KwBWHQPX9C,46.0092,13.5797,5211,Kojsko
1jll8R5uCE,45.9964,13.5264,5212,Dobrovo v Brdih
dQIMLoBUW4,46.0886,13.6397,5213,Kanal
T5npLTsDd3,46.0833,13.7403,5214,Kal nad Kanalom
48ATPC5CcB,46.1128,13.67,5215,Ročinj
KwEkVOOgNS,46.1469,13.7389,5216,Most na Soči
EUMMenW3FN,46.183,13.7332,5220,Tolmin
yvdrqnwd22,46.2481,13.5772,5222,Kobarid
BtTcEj6paJ,46.2647,13.4278,5223,Breginj
A386uQmasR,46.2917,13.4988,5224,Srpenica
D6pIXfecYJ,46.3375,13.5528,5230,Bovec
hFwDJXFnBM,46.4019,13.5969,5231,Log pod Mangartom
b5ZiFvkLHE,46.3433,13.6564,5232,Soča
AwpxmwpycW,46.1539,13.8619,5242,Grahovo ob Bači
hvF533iCUI,46.21,13.9644,5243,Podbrdo
jLGv87d9Mh,45.9714,13.6494,5250,Solkan
Pdg4Mn2Aj8,45.9986,13.6739,5251,Grgar
rz71FvFhWM,45.9742,13.7433,5252,Trnovo pri Gorici
ZQT9pwCiFN,46.0494,13.7969,5253,Čepovan
0T632KVBYM,45.9303,13.7436,5261,Šempas
i34vst4p5a,45.9106,13.7767,5262,Črniče
QLyA4bTxoD,45.8839,13.8453,5263,Dobravlje
Ywfrkmm4Nh,45.886,13.9095,5270,Ajdovščina
wLh5ysT2gX,45.8467,13.9631,5271,Vipava
pAJEufNqqg,45.7969,13.9714,5272,Podnanos
PjmeYZ3bD8,45.8758,14.005,5273,Col
C31YwiX7BA,45.8726,13.9885,5274,Črni Vrh nad Idrijo
zBzatmuQcj,45.9578,14.0936,5275,Godovič
HGnDp6suws,46.0028,14.0306,5280,Idrija
w1aikiknSo,46.0319,14.0272,5281,Spodnja Idrija
oo1O7QYGOg,46.1256,13.9817,5282,Cerkno
J7QCCNfn0m,46.1233,13.8047,5283,Slap ob Idrijci
9pyHQYCvZR,45.9275,13.6411,5290,Šempeter pri Gorici
s2OIVfMtWd,45.8956,13.6075,5291,Miren
UCClJXRbFa,45.89,13.6686,5292,Renče
wSCRHlCdOo,45.9069,13.6775,5293,Volčja Draga
gd9YEA6jTq,45.8897,13.7369,5294,Dornberk
9ryNJA9E4w,45.8572,13.7842,5295,Branik
xFyQwv1thF,45.845,13.6417,5296,Kostanjevica na Krasu
4KdByRxBHB,45.89,13.7181,5297,Prvačina
ioYln0yDYR,45.956,13.6484,5600,Nova Gorica
Ra4I0rBkKf,45.5538,13.7439,6000,Koper/Capodistria - dostava
ri8Sc4nVIY,45.5472,13.7258,6001,Koper/Capodistria - poštni predali
1WtKNVHGEU,45.7092,13.8733,6210,Sežana
mEr64GCIYx,45.6847,13.9703,6215,Divača
RZomszUPzJ,45.5292,13.9528,6216,Podgorje
lCP6veZzcf,45.6571,14.0301,6217,Vremski Britof
62jPuXGz2G,45.6611,13.9281,6219,Lokev
veP84tS6bC,45.7581,13.8322,6221,Dutovlje
ESDDmN3XVf,45.8233,13.8436,6222,Štanjel
5ex4qDWJd0,45.8153,13.7483,6223,Komen
8piBABf01T,45.7211,14.0411,6224,Senožeče
pv7iMCpt4q,45.7606,14.1064,6225,Hruševje
I8qpbn1QVq,45.7769,14.2167,6230,Postojna
m66KVwtaCh,45.8339,14.2561,6232,Planina
tAGq2eM84A,45.61,13.9356,6240,Kozina
aAfBwsOnR1,45.5814,13.9967,6242,Materija
Tza2DIhYec,45.5425,14.0869,6243,Obrov
ES9gtrcUKP,45.5217,14.1461,6244,Podgrad
vU0T9PYHiP,45.5697,14.2408,6250,Ilirska Bistrica
HArZYfuAaN,45.6192,14.2205,6251,Ilirska Bistrica-Trnovo
Zj6rZxJp9a,45.6245,14.2448,6253,Knežak
3P3b363GAa,45.9847,15.1894,8296,Krmelj
0WCZ2u97uY,46.0114,15.1672,8297,Šentjanž
tumV7hP2Qp,45.84,15.3361,8310,Šentjernej
hhsQBrrroq,46.6625,16.1664,9501,Murska Sobota
QKoBRZNKqU,46.642,16.0378,9502,Radenci
yhidkbv4GE,46.6625,16.1664,9600,Murska Sobota
