objectId,latitude,longitude,postalCode,place
AXasDTOsUQ,46.0511,14.5051,1000,Ljubljana - dostava
njcfAjK2U2,46.0511,14.5051,1001,Ljubljana - poštni predali
xlzp3Wu1J9,46.0964,14.4697,1210,Ljubljana Šentvid
kVZi3HNMLc,46.168,14.5217,1211,Ljubljana-Šmartno
P5qlLptXzu,46.1333,14.4333,1215,Medvode
RKnCtuBkPO,46.1642,14.4325,1216,Smlednik
WCUlwc8DYT,46.1899,14.4949,1217,Vodice
NAiqYukLwv,46.2048,14.5384,1218,Komenda
9TjbYIPp2l,46.2194,14.7611,1219,Laze v Tuhinju
DZYT1aKK4n,46.2153,14.8911,1221,Motnik
U7WNrzMNcs,46.1883,14.8831,1222,Trojane
SnSin1B7p7,46.1769,14.8072,1223,Blagovica
ShOzIVsiob,46.1667,14.7,1225,Lukovica
JHIeh7t5D9,46.1377,14.5937,1230,Domžale
UN3Kr9W3W2,46.1527,14.5952,1231,Ljubljana Èrnuèe
t2C6nbM1qM,46.1519,14.6286,1233,Dob
12wTv2n8SX,46.1669,14.575,1234,Mengeš
1MUZm5Iu5k,46.1736,14.6122,1235,Radomlje
cUAjuUa4JQ,46.1333,14.5667,1236,Trzin
OzLGZCYiWv,46.2259,14.6121,1241,Kamnik
8zrP6RZlTp,46.2619,14.6022,1242,Stahovica
sbjt7hrZrL,46.1369,14.745,1251,Moravèe
31txwij769,46.12,14.8392,1252,Vaèe
vMTZBXBXkq,46.0667,14.5833,1260,Ljubljana Polje
EpYk62Blji,46.0333,14.5833,1261,Ljubljana-Dobrunje
jieJ1DAai7,46.0886,14.6008,1262,Dol pri Ljubljani
2iQASP0ywj,46.0586,14.8225,1270,Litija
ii08OZztFj,46.0667,14.95,1272,Polšnik
eDGPFePULd,46.0353,15.0189,1273,Dole pri Litiji
5NfWqjjBIK,46.0167,15,1274,Gabrovka
K2TtnARsBP,46.0444,14.8442,1275,Šmartno pri Litiji
QYNiY55Cmw,45.9717,14.9104,1276,Primskovo
hHnxy9TaE4,46.102,14.7858,1281,Kresnice
sEdEgifBiv,46.0898,14.8904,1282,Sava
EtuWyYVv2w,45.9556,14.6589,1290,Grosuplje
gT0r7SBkCW,45.9833,14.5767,1291,Škofljica
rmWYTLn6pe,45.9603,14.5289,1292,Ig
9ImWzjTo4Z,45.9762,14.6118,1293,Šmarje-Sap
tHtMXfthkv,45.9539,14.7453,1294,Višnja Gora
jhZx6FzswN,45.9383,14.8044,1295,Ivanèna Gorica
VjHh5Gee29,45.95,14.8434,1296,Šentvid pri Stièni
t1OXB0X2u5,45.8813,14.7781,1301,Krka
uNaFGX9ztO,45.8614,14.8342,1303,Zagradec
8vjXfbuAUB,45.7386,14.7275,1310,Ribnica
mdUWlFl1Ja,45.8789,14.6153,1311,Turjak
vxm5IbHNjK,45.85,14.6942,1312,Videm-Dobrepolje
CPfCN8tiBq,45.7817,14.7747,1313,Struge
8z83DtCkTW,45.8486,14.5722,1314,Rob
gxJ6mERiZS,45.8322,14.6364,1315,Velike Lašèe
4vN3U98quI,45.782,14.6753,1316,Ortnek
Gip8pPm7cc,45.7611,14.6356,1317,Sodražica
LmkmP36cCZ,45.8236,14.6531,1318,Loški Potok
8uUg6L6M2E,45.9395,14.547,1319,Draga
RxxvD4Haev,45.6433,14.8633,1330,Koèevje
8NdiZBxvu7,45.7061,14.7544,1331,Dolenja vas
FJrtJnVFAj,45.6722,14.8397,1332,Stara Cerkev
LVHhivf301,45.4747,14.8692,1336,Vas
5OFmOf07Pw,45.5278,14.6944,1337,Osilnica
olfMstuulG,45.5764,14.7969,1338,Koèevska Reka
NcCOBiOaat,46.0333,14.4,1351,Brezovica pri Ljubljani
7JR0HyvdGO,45.9569,14.4189,1352,Preserje
QWtC7QJ22a,45.9158,14.3631,1353,Borovnica
WplBoOmF8q,46.0236,14.2992,1354,Horjul
juLB7H5tOc,46.0669,14.3161,1355,Polhov Gradec
o1QLulMBSK,46.055,14.4172,1356,Dobrova
mfArSqtRv1,45.9875,14.3989,1357,Notranje Gorice
HWB2gFbgam,46.0167,14.3667,1358,Log pri Brezovici
BrnfsJ8dGr,45.6922,14.5028,1360,Vrhnika
SfmRdLshh3,45.9144,14.2258,1370,Logatec
eCRmcbkNCd,45.9144,14.2258,1371,Logatec
DYCUHGNJ0L,45.9303,14.1422,1372,Hotedršica
bHQuwpszYE,45.9853,14.1775,1373,Rovte
jpGlpSAiTm,45.7931,14.3625,1380,Cerknica
S1uwq8NNHM,45.8133,14.3111,1381,Rakek
wMLELas4zr,45.8181,14.3822,1382,Begunje pri Cerknici
vwM6DsTqsC,45.7692,14.4222,1384,Grahovo
IxNFFmEXUZ,45.7717,14.5058,1385,Nova vas
bGJMHBRHpJ,45.7148,14.471,1386,Stari trg pri Ložu
8W8CYGatOq,46.1318,14.9969,1410,Zagorje ob Savi
pMGpGn5pmM,46.15,14.95,1411,Izlake
RUV5yf49nB,46.1391,14.9629,1412,Kisovec
lL0d5z5l29,46.1792,14.9444,1413,Èemšenik
jZ31iqfGv1,46.0714,15.0286,1414,Podkum
xNCegumAap,46.155,15.0533,1420,Trbovlje
6prH3U8uqo,46.1131,15.0572,1423,Dobovec
ADkWKzv0bK,46.1461,15.0814,1430,Hrastnik
MSvguOSzOR,46.1419,15.1128,1431,Dol pri Hrastniku
YARKmjvMGJ,46.0882,15.1728,1432,Zidani Most
HtAqZuzgnk,46.0681,15.1839,1433,Radeèe
onDyVca0B9,46.0575,15.2072,1434,Loka pri Zidanem Mostu
yugGfWoFot,46.5547,15.6467,2000,Maribor - dostava
brDjvBu9zJ,46.5547,15.6467,2001,Maribor - poštni predali
CReA8hbCuF,46.6392,15.6156,2201,Zgornja Kungota
kbBsxf5ARW,46.5058,15.6972,2204,Miklavž na Dravskem polju
nGWKRNbgQj,46.4658,15.7672,2205,Starše
3UJIUD3y02,46.4525,15.7369,2206,Marjeta na Dravskem polju
yFeZkOkdSH,46.5026,15.573,2208,Pohorje
OX7HJzwtsQ,46.6069,15.6767,2211,Pesnica pri Mariboru
kXlKsHH6vt,46.6792,15.6532,2212,Šentilj v Slovenskih goricah
iF7iamu0CK,46.6753,15.7692,2213,Zgornja Velka
m2lSJP0Wf6,46.7075,15.8011,2214,Sladki Vrh
vxqMuGUmBV,46.6992,15.6692,2215,Ceršak
fnImCqwi5p,46.5803,15.7438,2221,Jarenina
EkJjgXc2uR,46.5803,15.7438,2222,Jakobski Dol
WlrutajHbV,46.6064,15.7847,2223,Jurovski Dol
HLTaCF7Ssb,46.5542,15.7028,2229,Maleènik
klG8mUrgZV,46.5761,15.8314,2230,Lenart v Slovenskih goricah
ZF7uFhUcNL,46.58,15.7278,2231,Pernica
5UfwTr5XAY,46.5838,15.8478,2232,Volièina
v7tUKFzvrU,46.5838,15.8478,2233,Sv. Ana v Slovenskih goricah
v96MHcnuwZ,46.6086,15.8883,2234,Benedikt
7lXQonCbjL,46.5838,15.8478,2235,Sv. Trojica v Slovenskih goricah
RFuLwL4dqT,46.5706,15.9436,2236,Cerkvenjak
XLtcYYiBkG,46.5031,15.7453,2241,Spodnji Duplek
1MzuCadFz9,46.524,15.7723,2242,Zgornja Korena
hbGDzm21jY,46.4201,15.8702,2250,Ptuj
ZqpksjcdL6,46.4367,15.9536,2252,Dornava
