;"postal_code";post_name;special_office
A;8341;Adlešiči;
;5270;Ajdovščina;
;6280;Ankaran/Ancarano;
;9253;Apače;
;8253;Artiče;
B;4275;Begunje na Gorenjskem;
;1382;Begunje pri Cerknici;
;9231;Beltinci;
;2234;Benedikt;
;2345;Bistrica ob Dravi;
;3256;Bistrica ob Sotli;
;8259;Bizeljsko;
;1223;Blagovica;
;8283;Blanca;
;4260;Bled;
;4273;Blejska Dobrava;
;9265;Bodonci;
;9222;Bogojina;
;4263;Bohinjska Bela;
;4264;Bohinjska Bistrica;
;4265;Bohinjsko jezero;
;1353;Borovnica;
;8294;Boštanj;
;5230;Bovec;
;5295;Branik;
;3314;Braslovče;
;5223;Breginj;
;8280;Brestanica;
;2354;Bresternica;
;4243;Brezje;
;1351;Brezovica pri Ljubljani;
;8250;Brežice;
;4210;Brnik - aerodrom;
;8321;Brusnice;
;3255;Buče;
;8276;Bučka;
C;9261;Cankova;
;3000;Celje;
;3001;Celje - poštni predali;
;4207;Cerklje na Gorenjskem;
;8263;Cerklje ob Krki;
;1380;Cerknica;
;5282;Cerkno;
;2236;Cerkvenjak;
;2215;Ceršak;
;2326;Cirkovce;
;2282;Cirkulane;
;5273;Col;
Č;8251;Čatež ob Savi;
;1413;Čemšenik;
;5253;Čepovan;
;9232;Črenšovci;
;2393;Črna na Koroškem;
;6275;Črni Kal;
;5274;Črni Vrh nad Idrijo;
;5262;Črniče;
;8340;Črnomelj;
D;6271;Dekani;
;5210;Deskle;
;2253;Destrnik;
;6215;Divača;
;1233;Dob;
;3224;Dobje pri Planini;
;8257;Dobova;
;1423;Dobovec;
;5263;Dobravlje;
;3204;Dobrna;
;8211;Dobrnič;
;1356;Dobrova;
;9223;Dobrovnik/Dobronak;
;5212;Dobrovo v Brdih;
;1431;Dol pri Hrastniku;
;1262;Dol pri Ljubljani;
;1273;Dole pri Litiji;
;1331;Dolenja vas;
;8350;Dolenjske Toplice;
;1230;Domžale;
;2252;Dornava;
;5294;Dornberk;
;1319;Draga;
;8343;Dragatuš;
;3222;Dramlje;
;2370;Dravograd;
;4203;Duplje;
;6221;Dutovlje;
;8361;Dvor;
F;2343;Fala;
;9208;Fokovci;
;2313;Fram;
;3213;Frankolovo;
G;1274;Gabrovka;
;8254;Globoko;
;5275;Godovič;
;4204;Golnik;
;3303;Gomilsko;
;4224;Gorenja vas;
;3263;Gorica pri Slivnici;
;2272;Gorišnica;
;9250;Gornja Radgona;
;3342;Gornji Grad;
;4282;Gozd Martuljek;
;6272;Gračišče;
;9264;Grad;
;8332;Gradac;
;1384;Grahovo;
;5242;Grahovo ob Bači;
;5251;Grgar;
;3302;Griže;
;3231;Grobelno;
;1290;Grosuplje;
H;2288;Hajdina;
;8362;Hinje;
;2311;Hoče;
;9205;Hodoš/Hodos;
;1354;Horjul;
;1372;Hotedršica;
;1430;Hrastnik;
;6225;Hruševje;
;4276;Hrušica;
I;5280;Idrija;
;1292;Ig;
;6250;Ilirska Bistrica;
;6251;Ilirska Bistrica - Trnovo;
;1295;Ivančna Gorica;
;2259;Ivanjkovci;
;1411;Izlake;
;6310;Izola/Isola;
J;2222;Jakobski Dol;
;2221;Jarenina;
;6254;Jelšane;
;4270;Jesenice;
;8261;Jesenice na Dolenjskem;
;3273;Jurklošter;
;2223;Jurovski Dol;
;2256;Juršinci;
K;5214;Kal nad Kanalom;
;3233;Kalobje;
;4246;Kamna Gorica;
;2351;Kamnica;
;1241;Kamnik;
;5213;Kanal;
